alcohol,density,fixed acidity level,chlorides level,label
8.8,1.001,medium,low,0
9.5,0.9940000000000001,low,low,0
10.1,0.9951,high,low,0
9.9,0.9956,medium,medium,0
9.9,0.9956,medium,medium,0
10.1,0.9951,high,low,0
9.6,0.9949,low,low,0
8.8,1.001,medium,low,0
9.5,0.9940000000000001,low,low,0
11.0,0.9938,high,low,0
12.0,0.9908,high,low,0
9.7,0.9947,high,low,0
10.8,0.992,medium,low,0
12.4,0.9962,medium,low,1
9.7,1.0002,high,low,0
11.4,0.9964,medium,low,1
9.6,0.9928,low,low,0
12.8,0.9942,low,low,1
11.3,0.9917,medium,low,0
9.5,0.9955,low,low,0
12.8,0.9942,low,low,1
11.0,0.9962,low,low,1
10.5,0.998,medium,low,1
9.3,0.9937,medium,high,0
10.0,0.9951,medium,medium,0
10.4,0.9955,medium,low,0
10.0,0.993,medium,medium,0
10.5,0.9961,medium,medium,0
11.6,0.9914,medium,low,0
12.3,0.9956,medium,low,1
10.0,0.9974,high,low,0
10.2,0.9934,high,low,0
10.8,0.992,medium,low,0
9.0,0.9939,low,low,0
10.2,0.9962,low,low,0
12.8,0.9905,medium,high,0
10.0,0.9934,low,medium,0
11.2,0.9906,medium,medium,0
8.6,0.9999,medium,medium,0
8.6,0.9999,medium,medium,0
9.4,0.9937,medium,high,0
9.4,0.9937,medium,high,0
9.8,0.9954,medium,medium,0
9.5,0.9934,medium,medium,0
9.5,0.9934,medium,medium,0
10.0,0.9981,medium,medium,1
9.8,0.9940000000000001,low,medium,0
9.8,0.9939,low,medium,0
9.8,0.9954,medium,medium,0
9.8,0.995,medium,medium,0
11.7,0.9917,medium,medium,0
11.0,0.9964,medium,medium,1
10.9,0.996,low,medium,1
10.9,0.9911,low,low,0
9.1,0.993,medium,high,0
11.0,0.9908,medium,low,0
9.6,0.9962,medium,low,0
8.9,0.9972,low,low,0
10.2,0.9931,medium,low,0
9.9,0.9926,medium,low,0
8.6,0.9951,medium,high,0
8.9,0.9972,low,low,0
10.5,0.991,medium,low,0
10.2,0.9931,medium,low,0
10.3,0.9927,medium,low,0
9.1,0.9934,low,medium,0
12.6,0.9953,low,low,1
9.8,0.992,medium,low,0
10.7,0.9976,medium,low,1
9.5,0.9962,medium,low,0
9.0,0.9956,low,medium,0
9.5,0.9958,medium,medium,0
10.0,0.9964,low,medium,0
9.1,0.9941,high,medium,0
10.7,0.9976,medium,low,1
9.5,0.9962,medium,low,0
12.7,0.9948,medium,low,1
12.0,0.9962,medium,low,1
9.3,0.9961,medium,medium,0
9.0,0.9949,medium,medium,0
10.6,0.9929,medium,medium,0
9.2,0.9985,medium,low,0
10.0,0.9946,medium,medium,0
9.5,0.9966,medium,low,0
8.7,0.9974,medium,low,0
8.7,0.9975,medium,low,0
8.7,0.9974,medium,low,0
9.7,0.9972,medium,low,0
8.7,0.9974,medium,low,0
8.7,0.9975,medium,low,0
8.7,0.9974,medium,low,0
9.0,0.9957,low,low,0
12.6,0.995,medium,low,1
12.6,0.9949,medium,low,1
11.5,0.9966,medium,low,1
9.2,0.9969,medium,low,0
8.8,0.9979,low,low,0
11.4,0.9963,high,low,1
10.1,0.9956,high,low,0
8.8,0.9979,low,low,0
9.1,0.9975,medium,medium,0
9.4,0.9962,medium,medium,0
9.4,0.997,low,low,0
9.0,1.0,medium,medium,0
9.1,0.9975,medium,medium,0
9.2,0.9974,medium,medium,0
9.4,0.9962,medium,medium,0
